query,category,intent,city,region_code,top_n,pages_to_scan,target_topic,query_focus,positive_page_pattern,negative_page_traps
теплые входные двери для дома,entrance_doors,commercial,,,10,2,входные металлические двери,утепленные входные двери,страница должна явно отвечать на потребность: утепленные входные двери; нужна коммерческая посадочная внутри темы: входные металлические двери,"мусор: страница не раскрывает утепленные входные двери, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: межкомнатные двери; мебель; аварийное вскрытие замков без продажи дверей; строительный блог; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
противовзломные входные двери,entrance_doors,commercial,,,10,2,входные металлические двери,противовзломные двери,страница должна явно отвечать на потребность: противовзломные двери; нужна коммерческая посадочная внутри темы: входные металлические двери,"мусор: страница не раскрывает противовзломные двери, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: межкомнатные двери; мебель; аварийное вскрытие замков без продажи дверей; строительный блог; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
входные двери москва,entrance_doors,commercial,Москва,213,10,2,входные металлические двери,входные двери в Москве,страница должна явно отвечать на потребность: входные двери в Москве; нужна коммерческая посадочная внутри темы: входные металлические двери; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает входные двери в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: межкомнатные двери; мебель; аварийное вскрытие замков без продажи дверей; строительный блог; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
двери металлические на заказ,entrance_doors,commercial,,,10,2,входные металлические двери,металлические двери на заказ,страница должна явно отвечать на потребность: металлические двери на заказ; нужна коммерческая посадочная внутри темы: входные металлические двери,"мусор: страница не раскрывает металлические двери на заказ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: межкомнатные двери; мебель; аварийное вскрытие замков без продажи дверей; строительный блог; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
лучшие входные двери рейтинг,entrance_doors,comparison,,,10,2,входные металлические двери,сравнение входных дверей,страница должна явно отвечать на потребность: сравнение входных дверей; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает сравнение входных дверей, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: межкомнатные двери; мебель; аварийное вскрытие замков без продажи дверей; строительный блог; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
как выбрать входную дверь,entrance_doors,informational,,,10,2,входные металлические двери,выбор входной двери,страница должна явно отвечать на потребность: выбор входной двери; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает выбор входной двери, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: межкомнатные двери; мебель; аварийное вскрытие замков без продажи дверей; строительный блог; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
стоматология москва,dentistry,commercial,Москва,213,10,2,стоматологические услуги,стоматология в Москве,страница должна явно отвечать на потребность: стоматология в Москве; нужна коммерческая посадочная внутри темы: стоматологические услуги; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает стоматология в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
имплантация зубов цена,dentistry,commercial,,,10,2,стоматологические услуги,стоимость имплантации зубов,страница должна явно отвечать на потребность: стоимость имплантации зубов; нужна коммерческая посадочная внутри темы: стоматологические услуги; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает стоимость имплантации зубов, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
лечение кариеса цена,dentistry,commercial,,,10,2,стоматологические услуги,лечение кариеса,страница должна явно отвечать на потребность: лечение кариеса; нужна коммерческая посадочная внутри темы: стоматологические услуги; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает лечение кариеса, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
удаление зуба мудрости,dentistry,commercial,,,10,2,стоматологические услуги,удаление зуба мудрости,страница должна явно отвечать на потребность: удаление зуба мудрости; нужна коммерческая посадочная внутри темы: стоматологические услуги,"мусор: страница не раскрывает удаление зуба мудрости, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
установка брекетов цена,dentistry,commercial,,,10,2,стоматологические услуги,установка брекетов,страница должна явно отвечать на потребность: установка брекетов; нужна коммерческая посадочная внутри темы: стоматологические услуги; обязательны цена диапазон тариф калькулятор или понятная логика расчета; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает установка брекетов, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
отбеливание зубов клиника,dentistry,commercial,,,10,2,стоматологические услуги,отбеливание зубов,страница должна явно отвечать на потребность: отбеливание зубов; нужна коммерческая посадочная внутри темы: стоматологические услуги; важны признаки реального исполнителя: реквизиты команда лицензии кейсы адрес или портфолио,"мусор: страница не раскрывает отбеливание зубов, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
детская стоматология рядом,dentistry,commercial,,,10,2,стоматологические услуги,детская стоматология,страница должна явно отвечать на потребность: детская стоматология; нужна коммерческая посадочная внутри темы: стоматологические услуги; важна логистика: зона обслуживания выезд доставка карта или способы получения услуги,"мусор: страница не раскрывает детская стоматология, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: нет зоны обслуживания доставки выезда адреса или локального подтверждения"
протезирование зубов москва,dentistry,commercial,Москва,213,10,2,стоматологические услуги,протезирование зубов,страница должна явно отвечать на потребность: протезирование зубов; нужна коммерческая посадочная внутри темы: стоматологические услуги; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает протезирование зубов, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
стоматология отзывы,dentistry,comparison,,,10,2,стоматологические услуги,отзывы о стоматологии,страница должна явно отвечать на потребность: отзывы о стоматологии; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о стоматологии, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
как выбрать стоматологию,dentistry,informational,,,10,2,стоматологические услуги,выбор стоматологической клиники,страница должна явно отвечать на потребность: выбор стоматологической клиники; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает выбор стоматологической клиники, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринария; салон красоты; аптека; статья без записи; медцентр без стоматологии; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
банкротство физических лиц цена,bankruptcy_law,commercial,,,10,2,банкротство физических лиц и юридическая помощь,цена банкротства физического лица,страница должна явно отвечать на потребность: цена банкротства физического лица; нужна коммерческая посадочная внутри темы: банкротство физических лиц и юридическая помощь; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает цена банкротства физического лица, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
банкротство физ лиц москва,bankruptcy_law,commercial,Москва,213,10,2,банкротство физических лиц и юридическая помощь,банкротство физических лиц в Москве,страница должна явно отвечать на потребность: банкротство физических лиц в Москве; нужна коммерческая посадочная внутри темы: банкротство физических лиц и юридическая помощь; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает банкротство физических лиц в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
списание долгов через банкротство,bankruptcy_law,commercial,,,10,2,банкротство физических лиц и юридическая помощь,списание долгов,страница должна явно отвечать на потребность: списание долгов; нужна коммерческая посадочная внутри темы: банкротство физических лиц и юридическая помощь,"мусор: страница не раскрывает списание долгов, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
юрист по банкротству,bankruptcy_law,commercial,,,10,2,банкротство физических лиц и юридическая помощь,юрист по банкротству,страница должна явно отвечать на потребность: юрист по банкротству; нужна коммерческая посадочная внутри темы: банкротство физических лиц и юридическая помощь,"мусор: страница не раскрывает юрист по банкротству, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
банкротство под ключ,bankruptcy_law,commercial,,,10,2,банкротство физических лиц и юридическая помощь,услуга банкротства под ключ,страница должна явно отвечать на потребность: услуга банкротства под ключ; нужна коммерческая посадочная внутри темы: банкротство физических лиц и юридическая помощь; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения,"мусор: страница не раскрывает услуга банкротства под ключ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
банкротство через мфц,bankruptcy_law,commercial,,,10,2,банкротство физических лиц и юридическая помощь,банкротство через МФЦ,страница должна явно отвечать на потребность: банкротство через МФЦ; нужна коммерческая посадочная внутри темы: банкротство физических лиц и юридическая помощь,"мусор: страница не раскрывает банкротство через МФЦ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
арбитражный управляющий банкротство,bankruptcy_law,commercial,,,10,2,банкротство физических лиц и юридическая помощь,арбитражный управляющий,страница должна явно отвечать на потребность: арбитражный управляющий; нужна коммерческая посадочная внутри темы: банкротство физических лиц и юридическая помощь,"мусор: страница не раскрывает арбитражный управляющий, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
консультация по банкротству бесплатно,bankruptcy_law,commercial,,,10,2,банкротство физических лиц и юридическая помощь,консультация по банкротству,страница должна явно отвечать на потребность: консультация по банкротству; нужна коммерческая посадочная внутри темы: банкротство физических лиц и юридическая помощь,"мусор: страница не раскрывает консультация по банкротству, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
банкротство физических лиц отзывы,bankruptcy_law,comparison,,,10,2,банкротство физических лиц и юридическая помощь,отзывы о банкротстве,страница должна явно отвечать на потребность: отзывы о банкротстве; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о банкротстве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
как проходит банкротство физического лица,bankruptcy_law,informational,,,10,2,банкротство физических лиц и юридическая помощь,этапы банкротства,страница должна явно отвечать на потребность: этапы банкротства; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает этапы банкротства, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: банковский кредит; новости о банкротстве; вакансии юриста; общая юридическая статья без услуги; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
бухгалтерские услуги для ип,accounting_services,commercial,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,бухгалтерия для ИП,страница должна явно отвечать на потребность: бухгалтерия для ИП; нужна коммерческая посадочная внутри темы: бухгалтерские услуги и аутсорсинг бухгалтерии,"мусор: страница не раскрывает бухгалтерия для ИП, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
бухгалтерское сопровождение ооо,accounting_services,commercial,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,бухгалтерское сопровождение ООО,страница должна явно отвечать на потребность: бухгалтерское сопровождение ООО; нужна коммерческая посадочная внутри темы: бухгалтерские услуги и аутсорсинг бухгалтерии,"мусор: страница не раскрывает бухгалтерское сопровождение ООО, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
ведение бухгалтерии цена,accounting_services,commercial,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,стоимость ведения бухгалтерии,страница должна явно отвечать на потребность: стоимость ведения бухгалтерии; нужна коммерческая посадочная внутри темы: бухгалтерские услуги и аутсорсинг бухгалтерии; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает стоимость ведения бухгалтерии, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
аутсорсинг бухгалтерии москва,accounting_services,commercial,Москва,213,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,аутсорсинг бухгалтерии в Москве,страница должна явно отвечать на потребность: аутсорсинг бухгалтерии в Москве; нужна коммерческая посадочная внутри темы: бухгалтерские услуги и аутсорсинг бухгалтерии; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает аутсорсинг бухгалтерии в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
сдача налоговой отчетности,accounting_services,commercial,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,сдача налоговой отчетности,страница должна явно отвечать на потребность: сдача налоговой отчетности; нужна коммерческая посадочная внутри темы: бухгалтерские услуги и аутсорсинг бухгалтерии,"мусор: страница не раскрывает сдача налоговой отчетности, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
бухгалтер для маркетплейсов,accounting_services,commercial,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,бухгалтерия для маркетплейсов,страница должна явно отвечать на потребность: бухгалтерия для маркетплейсов; нужна коммерческая посадочная внутри темы: бухгалтерские услуги и аутсорсинг бухгалтерии,"мусор: страница не раскрывает бухгалтерия для маркетплейсов, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
восстановление бухгалтерского учета,accounting_services,commercial,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,восстановление учета,страница должна явно отвечать на потребность: восстановление учета; нужна коммерческая посадочная внутри темы: бухгалтерские услуги и аутсорсинг бухгалтерии,"мусор: страница не раскрывает восстановление учета, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
расчет зарплаты аутсорсинг,accounting_services,commercial,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,аутсорсинг расчета зарплаты,страница должна явно отвечать на потребность: аутсорсинг расчета зарплаты; нужна коммерческая посадочная внутри темы: бухгалтерские услуги и аутсорсинг бухгалтерии,"мусор: страница не раскрывает аутсорсинг расчета зарплаты, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
бухгалтерские услуги отзывы,accounting_services,comparison,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,отзывы о бухгалтерских услугах,страница должна явно отвечать на потребность: отзывы о бухгалтерских услугах; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о бухгалтерских услугах, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
как выбрать бухгалтера на аутсорсинг,accounting_services,informational,,,10,2,бухгалтерские услуги и аутсорсинг бухгалтерии,выбор бухгалтера,страница должна явно отвечать на потребность: выбор бухгалтера; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает выбор бухгалтера, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: курсы бухгалтерии; вакансии бухгалтера; бухгалтерское ПО; новости налогов без услуги; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
